"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","revenue","leads_count","purchases_count"
"2023-06",yandex,cpc,prof-frontend,1,0,237990,1,1
"2023-06",yandex,cpc,freemium,2,0,232766,2,2
"2023-06",yandex,cpc,base-frontend,1,0,201150,1,1
"2023-06",vk,cpc,freemium-frontend,1,0,189210,1,1
"2023-06",yandex,cpc,freemium,1,0,188991,1,1
"2023-06",yandex,cpc,prof-frontend,1,0,180306,1,1
"2023-06",vk,cpc,prof-java,1,0,178800,1,1
"2023-06",yandex,cpc,prof-frontend,1,0,167625,1,1
"2023-06",yandex,cpc,base-python,1,0,160920,1,1
"2023-06",telegram,cpp,base-java,1,0,151192,1,1
"2023-06",yandex,cpc,dod-php,1,0,150255,1,1
"2023-06",yandex,cpc,prof-data-analytics,1,0,144244,1,1
"2023-06",yandex,cpc,prof-python,1,0,134100,1,1
"2023-06",yandex,cpc,freemium,1,0,134100,1,1
"2023-06",yandex,cpc,base-professions-retarget,1,0,134100,1,1
